year,month,average,trend
1992,1,356.43,355.64
1992,2,356.78,355.65
1992,3,357.16,355.70
1992,4,357.66,355.86
1992,5,357.73,356.09
1992,6,356.78,356.18
1992,7,355.09,356.22
1992,8,353.58,356.14
1992,9,353.49,356.05
1992,10,354.70,356.10
1992,11,355.87,356.12
1992,12,356.63,356.14
1993,1,357.09,356.26
1993,2,357.43,356.28
1993,3,357.84,356.40
1993,4,358.31,356.55
1993,5,358.26,356.61
1993,6,357.23,356.57
1993,7,355.61,356.62
1993,8,354.33,356.79
1993,9,354.35,356.93
1993,10,355.59,357.06
1993,11,356.83,357.18
1993,12,357.73,357.36
1994,1,358.34,357.49
1994,2,358.87,357.72
1994,3,359.22,357.77
1994,4,359.58,357.80
1994,5,359.61,357.93
1994,6,358.68,357.97
1994,7,357.15,358.13
1994,8,355.93,358.43
1994,9,355.89,358.54
1994,10,357.13,358.67
1994,11,358.56,358.91
1994,12,359.42,359.02
1995,1,360.00,359.16
1995,2,360.47,359.37
1995,3,360.94,359.57
1995,4,361.41,359.71
1995,5,361.33,359.70
1995,6,360.47,359.78
1995,7,358.85,359.85
1995,8,357.59,360.06
1995,9,357.92,360.50
1995,10,359.29,360.75
1995,11,360.63,360.91
1995,12,361.51,361.04
1996,1,362.00,361.08
1996,2,362.36,361.19
1996,3,362.68,361.26
1996,4,363.00,361.28
1996,5,363.15,361.54
1996,6,362.74,362.08
1996,7,361.43,362.47
1996,8,359.93,362.43
1996,9,359.57,362.17
1996,10,360.53,362.01
1996,11,361.64,361.94
1996,12,362.49,362.05
1997,1,363.13,362.19
1997,2,363.50,362.33
1997,3,363.88,362.47
1997,4,364.35,362.66
1997,5,364.36,362.79
1997,6,363.45,362.82
1997,7,361.79,362.82
1997,8,360.27,362.75
1997,9,360.27,362.86
1997,10,361.79,363.27
1997,11,363.46,363.74
1997,12,364.54,364.08
1998,1,365.04,364.11
1998,2,365.31,364.16
1998,3,365.78,364.38
1998,4,366.42,364.75
1998,5,366.70,365.17
1998,6,366.11,365.51
1998,7,364.68,365.73
1998,8,363.64,366.12
1998,9,363.88,366.46
1998,10,365.19,366.62
1998,11,366.44,366.69
1998,12,367.31,366.81
1999,1,367.95,367.03
1999,2,368.35,367.22
1999,3,368.74,367.36
1999,4,369.13,367.48
1999,5,369.03,367.53
1999,6,368.19,367.62
1999,7,366.53,367.58
1999,8,365.18,367.62
1999,9,365.29,367.84
1999,10,366.60,368.02
1999,11,367.90,368.13
1999,12,368.73,368.21
2000,1,369.24,368.33
2000,2,369.50,368.36
2000,3,369.82,368.43
2000,4,370.20,368.54
2000,5,370.10,368.58
2000,6,369.18,368.66
2000,7,367.78,368.92
2000,8,366.63,369.13
2000,9,366.58,369.12
2000,10,367.78,369.15
2000,11,369.13,369.30
2000,12,369.95,369.37
2001,1,370.53,369.64
2001,2,371.02,369.87
2001,3,371.42,370.01
2001,4,371.74,370.07
2001,5,371.64,370.12
2001,6,370.69,370.16
2001,7,369.29,370.40
2001,8,368.16,370.63
2001,9,368.20,370.72
2001,10,369.55,370.94
2001,11,370.88,371.09
2001,12,371.80,371.28
2002,1,372.35,371.39
2002,2,372.74,371.49
2002,3,373.21,371.68
2002,4,373.56,371.80
2002,5,373.54,371.96
2002,6,372.67,372.13
2002,7,371.24,372.38
2002,8,370.19,372.72
2002,9,370.52,373.13
2002,10,371.78,373.27
2002,11,373.11,373.41
2002,12,374.09,373.64
2003,1,374.77,373.77
2003,2,375.29,373.98
2003,3,375.73,374.16
2003,4,376.21,374.42
2003,5,376.33,374.73
2003,6,375.50,374.95
2003,7,373.98,375.12
2003,8,372.75,375.33
2003,9,372.93,375.60
2003,10,374.21,375.74
2003,11,375.50,375.83
2003,12,376.36,375.94
2004,1,377.03,376.06
2004,2,377.56,376.24
2004,3,377.98,376.38
2004,4,378.31,376.52
2004,5,378.24,376.65
2004,6,377.36,376.81
2004,7,375.82,377.00
2004,8,374.35,376.98
2004,9,374.24,376.91
2004,10,375.57,377.07
2004,11,377.04,377.34
2004,12,378.01,377.52
2005,1,378.58,377.60
2005,2,379.12,377.80
2005,3,379.71,378.11
2005,4,380.17,378.36
2005,5,380.27,378.65
2005,6,379.45,378.87
2005,7,377.79,378.95
2005,8,376.57,379.20
2005,9,376.59,379.29
2005,10,377.90,379.45
2005,11,379.35,379.68
2005,12,380.34,379.86
